"filename", "language", "Batch", "Groovy", "XML", "C++", "Properties", "Java", "Markdown", "cmake", "CMake Cache", "Log", "C", "JSON", "comment", "blank", "total"
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\.cmake\api\v1\query\client-MicrosoftVS\query.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 75, 381
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CMakeCCompiler.cmake", "cmake", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 16, 79
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CMakeCXXCompiler.cmake", "cmake", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 18, 92
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CMakeRCCompiler.cmake", "cmake", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CMakeSystem.cmake", "cmake", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 6, 16
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 555, 0, 0, 0, 0, 0, 0, 0, 0, 57, 123, 735
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 564, 0, 55, 125, 744
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 29, 70
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeFiles\ShowIncludes\foo.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\CMakeFiles\ShowIncludes\main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\cmake_install.cmake", "cmake", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 9, 51
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\out\build\x64-Debug\kaldi\cmake_install.cmake", "cmake", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\patch\CPPLINT.cfg", "Properties", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\patch\openfst\src\include\fst\flags.h", "C++", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 46, 37, 229
